Common Name,Faculty,Number,Course Title,Schedule,Lecture Hours,Lab Hours,Weight,Description,Prerequisites,Corequisites,Restrictions,Equates,Departments,Offerings,External Course Codes
AGR*2050,AGR,2050,Agroecology,W,3,0,0.50,"This course considers the interactions of all important biophysical, technical and socioeconomic components of farming systems and examines these systems as the fundamental units of study. Mineral cycles, energy transformations, biological processes and socioeconomic relationships are analyzed as a whole in an interdisciplinary fashion. ","(AGR*1110 or AGR*2150), (BIOL*1050 or BIOL*1070)",,CROP*2110,,"Department of Plant Agriculture, Department of Animal Biosciences",,

AGR*2150,AGR,2150,Plant Agriculture for International Development,F,3,0,0.50,"This course will provide students interested in international development with an introductory mechanistic understanding of the biology underlying crop production in developing nations. Emphasis will be placed on simple, low-cost solutions from biology that have the potential to aid efforts in international development. This course is accessible to science and non-science students. ",4.00 credits,,AGR*2470,,Department of Plant Agriculture,,

AGR*2320,AGR,2320,Soils in Agroecosystems,F,3,2,0.50,"This course is an introduction to soil resources with emphasis on management practices that will sustain the productivity of these resources and enhance the quality of the ecosystems of which they are a part. Students will develop a management plan for a farm that will take into account the roles of geological, geomorphological, biological, climatic and temporal factors on the formation, properties and uses of soils. The management plans will be placed in the broader context of provincial policies related to soil, air and water resources and local zoning regulations. ",2.50 credits,,ENVS*2060 or SOIL*2010,,School of Environmental Sciences,,

AGR*2350,AGR,2350,"Animal Production Systems, Health and Industry",F,3,3,0.50,"This course is designed to introduce the student to the Agri-food system in Ontario, nationally and internationally. All major animal industries will be covered starting from the grocery store and working back to the primary producer. Companion and exotic animals will also be covered. Topics include food, health and wellness (domestic animals and human), nutrition, housing, genetics, reproduction, husbandry practices and processing. . The course includes laboratories and animal production unit tours. ","BIOL*1030 or (2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090)",,,,Department of Animal Biosciences,,

AGR*2470,AGR,2470,Introduction to Plant Agriculture,F,3,3,0.50,"The basic principles of plant morphology, nutrition, growth and development will be related to where and how agriculturally significant plants are grown. Agroecosystems and farming systems will be considered as frameworks for crop production analyses. The course uses examples from temperate, sub-tropical and tropical crops and cropping systems. Labs include problem-solving exercises in the context of plant production. ",BIOL*1050 or BIOL*1070,,AGR*2150,,Department of Plant Agriculture,,

AGR*2500,AGR,2500,Field Course in International Agriculture,W,3,0,0.50,"This course introduces students to a wide range of tropical and subtropical agricultural production systems and issues. The course is comprised of a weekly 3 hour evening lecture and a two week field trip to Costa Rica where students will visit corporate and individual farms, university and government research stations. The field trip occurs during Reading Week in February. This course must be recorded as part of your Winter course selection. The cost of the course is approximately $3200.00 per student, in addition to tuition and compulsory fees. Students must identify their interest in taking this course by contacting the instructor before the October course selection period of the previous year. In order to confirm reservations for travel arrangements a deposit of $300 in the form of a cheque, made payable to the University of Guelph, must be submitted to the Department of Plant Agriculture Undergraduate Program Assistant in the Crop Science building, room 306 by November. Some financial support for travel may be available. ",(AGR*1110 or AGR*1250) or registration in International Development,,Registration in BSC(AGR) or BA.ID or Minor in Agriculture Instructor consent required.,,Department of Plant Agriculture,,

AGR*3010,AGR,3010,Special Studies in Agricultural Science I,"S,F,W",3,0,0.50,A special study option that enables undergraduate students in semesters 5 through 8 to undertake specific projects in agricultural sciences. The topic of the special study will be determined in consultation with an faculty member and the individual student. Students are responsible for making appropriate arrangements with faculty at the departmental and/or college level prior to registration for the course. ,10.00 credits,,Instructor consent required.,,Department of Plant Agriculture,,

AGR*3450,AGR,3450,Research Methods in Agricultural Science,F,3,2,0.50,"This course provides students with an opportunity to enhance their understanding of the principles and processes of agricultural research. The course will provide students with a foundation in critical thinking, experimental design and data analysis that will be applicable to independent research projects and graduate studies. Students will also explore the practical requirements and limitations of scientific research. Laboratory and field safety, animal care, intellectual property and research ethics will be reviewed. Students will be required to practice both oral presentation and writing skills as core components of their evaluation. ","Completion of 7.50 credits including (1 of GEOG*2460, STAT*2040 , STAT*2060, STAT*2080)",,"Enrollment in the BSC(AGR), BBRM, BSC.ABIO, BSC.PLSC or Minor in Agriculture.",,"Department of Plant Agriculture, Department of Animal Biosciences",,

AGR*3500,AGR,3500,Experiential Education,F,3,0,0.50,"Student initiated experiential learning opportunities can be developed as a credit course in consultation with the course instructor. Students who find suitable employment in their chosen industry related to food, agriculture and environment over a summer semester can receive credit while completing the requirements for this course. This course is designed to run from May until November, with registration in the Fall semester. Students must confirm participation in this course by May 1st, prior to starting their summer employment. The course is designed to meet the needs of B.Sc.(Agr.), BBRM and Agricultural Business students. Department of Plant Agriculture. ",5.00 credits,,Instructor consent required.,,Department of Plant Agriculture,,

AGR*4010,AGR,4010,Special Studies in Agricultural Science II,"S,F,W",3,0,0.50,This special study option enables undergraduate students in semesters 5 through 8 to undertake specific projects in agricultural science. The topic of the special study will be determined in consultation with a faculty member and the individual student. Students are responsible for making appropriate arrangements with faculty member prior to registration for the course. ,15.00 credits,,Instructor consent required.,,Department of Animal Biosciences,,

AGR*4020,AGR,4020,Precision Techniques for Plant Agriculture,F,3,0,0.50,"This course will be a survey of principles and applications of technologies supporting precision farming and planning for natural resource data management. Topics will include Global positioning system (GPS), yield monitoring and mapping, remote sensing, geographic information system (GIS), variable rate technologies (VRT), data layering, Internet information access, and computer software for management. ","AGR*2470, STAT*2040, (BIOL*1050 or BIOL*1070)",,,,Department of Plant Agriculture,,

AGR*4450,AGR,4450,Research Project I,"S,F,W",0,12,1.00,"This course provides for the independent study of a current topic in agricultural or environmental science designed to encourage senior undergraduates to conduct research. The course includes participation in meetings organized by the coordinator, work with a faculty advisor to develop a research project, formulate hypotheses, design and carry out preliminary experiments to test the hypotheses. Students will carry out independent library research, begin experimental work, prepare a written report and make a presentation to other students in the course of the research plan and preliminary results. Students must make arrangements with both the faculty supervisor and the course coordinator at least one semester before starting the course. This course will normally be followed by AGR*4460 to provide 2 semesters to complete the research project. ",10.00 credits,,"Permission of the course coordinator (contingent on the availability and agreement of a faculty advisor). BSC(Agr) or BSC or BBRM, 70% cumulative average.",,"Dean's Office, Ontario Agricultural",,

AGR*4460,AGR,4460,Research Project II,"S,F,W",0,12,1.00,"Independent study of a current topic in agricultural or environmental science designed to encourage senior undergraduates to conduct research. The focus of this course will be the completion of the research plan developed in AGR*4450 by the student in consultation with a faculty advisor. The course includes participation in meetings organized by the coordinator and meetings with a faculty advisor to review research progress. Students will carry out independent research, prepare a written report of the research findings in a scholarly style and make a presentation to other students in the course of the research results. Open to students in semesters 6, 7 and 8 of the B.SC. (Agr.) or B.Sc. degree program. ",AGR*4450,,Permission of the course coordinator and faculty advisor.,,"Dean's Office, Ontario Agricultural",,

AGR*4600,AGR,4600,Agriculture and Food Issues Problem Solving,W,3,0,1.00,"The issues facing the agriculture and food sector are many and varied and relate to the economy, the environment and society. Within these issues there are problems which require thoughtful solutions. Working in teams, with guidance from faculty advisors, students will have an opportunity to develop solutions to real-world problems facing the agriculture and food sector. In the process students will have an opportunity to develop their research, communication, presentation, writing and group work skills. ",12.50 credits,,"Registration in BSC(AGR), BBRM, B.COMM.FAB, B.COMM.FAB:C, BSC.PLSC, or BA.FARE program, or Minor in Agriculture.",,Department of Plant Agriculture,,

ANSC*1210,ANSC,1210,Principles of Animal Care and Welfare,W,4.5,0,1.00,Students will be introduced to the major ethical theories that deal with humanity's duties to animals. The relationship of ethics to science will be discussed. Factors that contribute to the quality of life of animals will be considered and methods of assessing animal welfare will be described. Common causes of reduced animal welfare will be covered. The course will also deal with how different cultures approach animal welfare and attempt to regulate it.1 ,"1 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090",,"Registration in BSAG, BSCH. ABIO or BBRM.EQM",,Department of Animal Biosciences,,

ANSC*2340,ANSC,2340,Structure of Farm Animals,W,3,0,0.50,"This course is an introduction to anatomy and carcass structure of farm animals. Consideration is given to the major systems in the body and the whole range of animal structure from molecular biology to commercial carcass grading. The course provides a basic understanding of factors such as meat tenderness, adipose development in the carcass, abnormalities of meat quality such as PSE pork and dark-cutting beef, and carcass composition. ","2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090",,,,Department of Animal Biosciences,Also offered through Distance Education format.,

ANSC*3040,ANSC,3040,Animal Reproduction,W,3,3,0.50,"This course takes a multi-species approach to understanding the basic principles of animal reproduction. Both the anatomy and the physiology of reproductive systems are explored in agricultural, companion and wildlife species with an emphasis on animals under human management. In addition, the development and application of assisted reproductive technologies (ART) for animal management are introduced. ",ANSC*3080,,,,Department of Animal Biosciences,,

ANSC*3050,ANSC,3050,Aquaculture: Advanced Issues,F,3,0,0.50,"This course examines the fundamental principles and advanced interdisciplinary issues involved in the farming of aquatic organisms. The course will concentrate primarily on finfish species due to their worldwide commercial importance. Lectures will cover fish physiology, behaviour, nutrition, genetics, water quality, health and disease, reproductive techniques, economic, political and legal issues and various culture technologies. Students will analyze contemporary challenges facing the aquaculture industry through exercises requiring interdisciplinary knowledge, lateral thinking, creative problem solving and bridging science and technology to issues management. ","8.00 credits in biology, including AGR*2350 or ZOO*2090",,,,Department of Animal Biosciences,,

ANSC*3080,ANSC,3080,Agricultural Animal Physiology,F,3,1.5,0.50,"This course is an introduction to the physiology of domesticated farm animals. The course will emphasize homeostatic control of the major body systems. The lectures cover the nervous, cardiovascular, respiratory, urinary, immune, endocrine and reproductive systems. The lectures and laboratories are closely integrated. ",BIOC*2580 or EQN*2040,,"Registration in BSC(Agr), BSC.ABIO or BBRM.EQM, Minor in Agriculture.",,Department of Animal Biosciences,,

ANSC*3090,ANSC,3090,Principles of Animal Behaviour,F,3,0,0.50,"This course deals with why vertebrates behave as they do (with particular emphasis on mammals and birds), covering the causation of behaviour (including learning, motivation, affective states, hormones, sensory processing, and neurobiological mechanisms); function (both immediate/proximate and adaptive/ultimate); ontogeny (including socialization and sensitive periods); and phylogeny (especially the influences of taxonomic group and domestication). This framework is then applied to the following aspects of animal behaviour: foraging, anti-predator responses, sleep, sociality, mating, parental behaviour, play, dispersal and territoriality, animal intelligence, and behavioural pathologies. ",ANSC*1210,,"ANSC*4090, Restricted to students in BSCH.ABIO, BSAG.ANSC and BBRM.EQM",,Department of Animal Biosciences,,

ANSC*3120,ANSC,3120,Introduction to Animal Nutrition,F,3,2,0.50,This course applies the principles of nutrition to the development of diets and feeding programs for the various species of animals of agricultural importance. ,,NUTR*3210,Registration in BSC(Agr) or BSC.ABIO,,Department of Animal Biosciences,,

ANSC*3170,ANSC,3170,Nutrition of Fish and Crustacea,W,3,0,0.50,"This course examines growth, digestive and metabolic processes, nutritional requirements and practical feeding programs for fish and crustaceans with an emphasis on those species used in aquaculture. ",NUTR*3210,,,,Department of Animal Biosciences,,

ANSC*3180,ANSC,3180,Wildlife Nutrition,W,3,0,0.50,This course is a study of the nutrition of avian and mammalian wildlife with emphasis on North American species and the role of nutrition in survival and population growth of wildlife in their natural habitat. ,NUTR*3210,,,,Department of Animal Biosciences,,

ANSC*3270,ANSC,3270,Animal Disorders,W,3,0,0.50,"This course will highlight common causes of infectious, metabolic and psychological/neurological disorders of domestic and companion animals, and their potential impact on animal welfare and production. Disorders will be addressed in the context of pathophysiology, transmission, and prevention strategies involving environmental enrichment, vaccination, biosecurity, nutrition, and genetic selection. ",ANSC*3080,,,,Department of Animal Biosciences,,

ANSC*4010,ANSC,4010,Animal Welfare Judging and Evaluation,F,0,3,0.50,This course provides senior level students with a structured opportunity to practice assessing animal welfare using scientific evidence. Students learn to present their evaluations in a logical and persuasive manner. They learn general criteria and approaches used to assess welfare and then apply that knowledge for assessment of four different species in practical settings. ,"15.00 credits including ANSC*1210, ANSC*3080",ANSC*3090 or ANSC*4090,,,Department of Animal Biosciences,,

ANSC*4050,ANSC,4050,Biotechnology in Animal Science,F,3,2,0.50,"The course will provide an overview of how biotechnology has impacted biomedical science and animal production. Important principles of recombinant DNA, DNA marker identification, stem cell biology, and generation of transgenic animals will be emphasized. The current challenges and potential opportunities in biotechnology will also be discussed. ",MBG*2040 or MBG*2400,,,,Department of Animal Biosciences,,

ANSC*4090,ANSC,4090,Applied Animal Behaviour and Welfare,W,3,0,0.50,"Students will build upon their basic knowledge of animal behaviour and welfare for in-depth examination of how genetic selection, housing and management practices affect the behaviour, health and well-being of farmed and companion animals. Topics will include effects of domestication and artificial selection on behaviour and health traits, and how early experience affects adaptability, sexual and maternal behaviour. Emphasis is placed on the application of behavioural knowledge to the design of housing and management procedures that promote healthy, productive animals and good welfare. ","ANSC*3080, ANSC*3090",,,,Department of Animal Biosciences,,

ANSC*4100,ANSC,4100,Applied Environmental Physiology and Animal Housing,W,3,0,0.50,"Basic concepts of environmental physiology and their application to animal housing and management will be introduced. The course will review the physics of heat flow, light and air quality as they relate to animal biology and health. Other aspects, such as the physical environment, that impact on animal health and well-being will be discussed. ",ANSC*3080,,,,Department of Animal Biosciences,,

ANSC*4230,ANSC,4230,Challenges and Opportunities in Dairy Cattle Production,F,0,6,0.50,This course will provide senior level students with experience in working as a team to propose solutions to dairy cattle industry problems. Teams of students will critically assess dairy cattle-related businesses at the farm or industry level under the supervision of a faculty member. ,"ANSC*3080, ANSC*3120, MBG*3060",,Instructor consent required.,,Department of Animal Biosciences,,

ANSC*4260,ANSC,4260,Beef Cattle Nutrition,W,3,2,0.50,This course is designed for students to evaluate problems in feeding beef cattle. Relevant aspects of digestion and metabolism of nutrients as well as current issues of feeding beef cattle and diagnosing nutritional deficiencies will be included. ,ANSC*3120,,,,Department of Animal Biosciences,,

ANSC*4270,ANSC,4270,Dairy Cattle Nutrition,F,3,2,0.50,Students will learn how nutrients are transformed from feed into milk and bodies of dairy animals. There will be an emphasis on feed management on farms and developing skills in formulation and evaluation of rations using computer models. ,ANSC*3120,,,,Department of Animal Biosciences,,

ANSC*4280,ANSC,4280,Poultry Nutrition,F,3,0,0.50,"This course is designed to evaluate basic and applied poultry nutrition. Students will learn nutrient requirements of poultry, feeding value of ingredients used in poultry feed formulation and how feeding affects the environment, growth, reproduction, health, and composition of poultry products for human consumption. ",ANSC*3120,,,,Department of Animal Biosciences,,

ANSC*4290,ANSC,4290,Swine Nutrition,F,3,0,0.50,This course is designed to explore details of evaluating feed ingredients and formulating diets for swine. Students will use models to evaluate various aspects of nutrient partitioning for growth and reproduction in pigs. ,ANSC*3120,,,,Department of Animal Biosciences,,

ANSC*4350,ANSC,4350,Experiments in Animal Biology,W,0,6,0.50,This course provides an opportunity for directed hands-on projects involving live animals and laboratory techniques. A set of selected projects will be provided by Animal Biosciences faculty within their broad fields of study. ,14.00 credits including ANSC*3080,,"Restricted to students in BSCH.ABIO, BSAG.ANSC and BBRM.EQM.  Instructor consent required.",,Department of Animal Biosciences,,

ANSC*4470,ANSC,4470,Animal Metabolism,W,3,0,0.50,Current concepts in whole animal metabolism and the quantitative techniques used to measure whole body metabolic kinetics will be presented. Tissue and organ specific biochemical processes will be integrated with whole body control mechanisms. ,NUTR*3210,,,,Department of Animal Biosciences,,

ANSC*4490,ANSC,4490,Applied Endocrinology,W,3,0,0.50,"This course examines the endocrine systems of farm animals and their applications to improve and monitor the production, performance, behavior and health of livestock. Considerable emphasis will be placed upon understanding how knowledge of endocrine regulation can be applied within animal production systems. ",ANSC*3080,,,,Department of Animal Biosciences,,

ANSC*4560,ANSC,4560,Pet Nutrition,F,3,0,0.50,"This course covers nutrient requirements, feed formulation and nutritional idiosyncrasies for dogs, cats, and exotic pets.",NUTR*3210,,,,Department of Animal Biosciences,,

ANSC*4610,ANSC,4610,Critical Analysis in Animal Science,W,3,0,0.50,Students are guided to independently research and critically review a topic of emerging importance in animal biosciences. Students select a topic in consultation with the instructor. ,15.00 credits including 2.00 in ANSC or EQN,,,,Department of Animal Biosciences,,

ANSC*4650,ANSC,4650,Comparative Immunology,W,3,0,0.50,"This course gives an overview of the immune defense mechanisms of domestic species, and to compare common and unique defense strategies developed for resisting microbial and viral infections. Topics include innate and acquired immunity, evolution of the immune system, immunoregulation, and the host response to pathogen invasion. ",ANSC*3080,,,,Department of Animal Biosciences,,

ANSC*4700,ANSC,4700,Research in Animal Biology I,"S,F,W",6,0,0.50,This course is an opportunity for those students potentially interested in postgraduate studies to work with a committed faculty advisor to research a problem and design experiment(s) that address a solution. Evaluation of the course requires a substantive literature review and to write a research proposal. Selection of a faculty supervisor and approval from course coordinator must be obtained before course selection. ,14.00 credits,,Instructor consent required.,,Department of Animal Biosciences,,

ANSC*4710,ANSC,4710,Research in Animal Biology II,"S,F,W",0,6,0.50,"This course is a continuation of ANSC*4700, Research in Animal Biology I. It allows more sophisticated projects to be undertaken or to provide an opportunity to build upon the work of ANSC*4700 . Evaluation of the course requires a greater emphasis on data analysis or experimental design than for ANSC*4700. Selection of a faculty advisor and approval of course coordinator must be obtained before course selection. ",ANSC*4700,,Registration in Animal Biology Major or Animal Science Major. Instructor consent required.,,Department of Animal Biosciences,,

ANTH*1120,ANTH,1120,Biological Anthropology,F,3,0,0.50,"In this course students will be introduced to the central concepts of biological anthropology. Potential topics to be explored include hominid evolution, contemporary human diversity, nutrition and diet, and an introduction of forensic anthropology and paleopathology. ",,,,,Department of Sociology and,,

ANTH*1150,ANTH,1150,Introduction to Anthropology,"F,W",3,0,0.50,"This course deals with humankind from a broad historical and cross-cultural perspective. Theoretical models, case studies and specific methods will be presented. Course topics may include the origin and transformations of human society, the relationship between biological and cultural traits, human language, variation in family structure and religion, the economic and political aspects of human society. ",,,,,Department of Sociology and,Also offered through Distance Education format.,

ANTH*2180,ANTH,2180,Public Anthropology,W,3,0,0.50,"This course explores approaches to public, engaged anthropology, and the application of anthropological theory and practice. Students will develop insights into the roles of anthropology and anthropological perspectives for diverse occupations, fields, and policies, and within contemporary public debates and discussions. ","1 of ANTH*1150, IDEV*1000, SOC*1100",,,,Department of Sociology and,,

ANTH*2230,ANTH,2230,Regional Ethnography,F,3,0,0.50,"This course offers a survey of ethnographic studies on selected cultural/geographical area(s) of the world. Topics covered may include social, economic and political systems, the colonial encounter, and the theoretical, methodological and political contexts of ethnographic representation. ",ANTH*1150,,,,Department of Sociology and,,

ANTH*2660,ANTH,2660,Contemporary Indigenous Peoples in Canada,W,3,0,0.50,"An anthropological analysis of the impact of settler society on Indigenous cultures. Particular emphasis will be given to contemporary issues relating to Indigenous peoples in Canada, including First Nations, Inuit, and Métis peoples. Topics to be covered may include education, treaties and reserves, land claims, government administration, economic development, and reconciliation. ","1 of ANTH*1150, IDEV*1000, SOC*1100",,,,Department of Sociology and,,

ANTH*3550,ANTH,3550,Medical Anthropology,W,3,0,0.50,"This course provides an introduction to medical anthropology and the anthropology of health. We will examine theory, methods, practice, and contemporary and historical topical issues. ","SOAN*2120, (1 of ANTH*2160, ANTH*2180, ANTH*2230, ANTH*2660, IDEV*2500)",,,,Department of Sociology and,,

ANTH*3650,ANTH,3650,The Anthropology of Indigenous Peoples Before Canada,F,3,0,0.50,"This course is an anthropological exploration of the events that took place before the arrival of Europeans in what is now Canada. It draws on evidence from a variety of intellectual perspectives including Indigenous knowledges, oral histories, anthropology, archaeology, history, genetics, and linguistics to investigate current understandings and uses of the past. Archaeological time sequences are covered along with stories and debates about human history in the time period before Canada. ","(1 of ANTH*2160 , ANTH*2180, IDEV*2000), (1 of ANTH*2230, ANTH*2660, IDEV*2400, IDEV*2500)",,ANTH*2650,,Department of Sociology and,,

ANTH*3690,ANTH,3690,Engaging Anthropological Theory,F,3,0,0.50,"This course offers an analysis of the main trends in anthropological theory and practice. Areas of discussion will include the crisis of representation, interpretive anthropology, feminist anthropology, and agency and structure debates. ","ANTH*2230, (ANTH*2160 or ANTH*2180), SOAN*2120",,,,Department of Sociology and,,

ANTH*3770,ANTH,3770,"Kinship, Family, and Power",W,3,0,0.50,"This course explores the changing nature of what it means to be a family from anthropological and cross-cultural perspectives. Topics of discussion include kinship, descent, marriage, our relationships to ancestors, gender and power relations, and the politics of kinship ties. In addition, the course considers the relevance of kinship to contemporary issues such as gay, lesbian, bisexual and transgendered families, the use of reproductive technologies, and international adoptions. ","ANTH*2230, (ANTH*2160 or ANTH*2180), SOAN*2120",,,,Department of Sociology and,,

ANTH*3840,ANTH,3840,Seminar in Anthropology,"F,W",3,0,0.50,This course will be offered as a structured seminar on various topics depending upon the interests of the faculty member teaching the course. Topics will be announced and course outlines will be available at course selection. The availability of third and fourth year seminar courses will vary. Students must check with the Department of Sociology and Anthropology to see when seminar courses are available. ,"10.00 credits including (ANTH*2160, ANTH*2180), SOAN*2120",,,,Department of Sociology and,,

ANTH*3850,ANTH,3850,Seminar in Anthropology,"F,W",3,0,0.50,This course will be offered as a structured seminar on various topics depending upon the interests of the faculty member teaching the course. Topics will be announced and course outlines will be available at course selection. The availability of third and fourth year seminar courses will vary. Students must check with the Department of Sociology and Anthropology to see when seminar courses are available. ,"10.00 credits including (ANTH*2160, ANTH*2180), SOAN*2120",,,,Department of Sociology and,,

ANTH*3950,ANTH,3950,Special Projects in Anthropology,"S,F,W",3,0,0.50,"This special study option/reading course is designed to provide advanced undergraduates with an opportunity to explore independently the frontiers and foundations of a field of knowledge. Under supervision, the student will study in greater depth topics related to regular upper-level courses offered in the department which the student has taken or is taking. Permission of the instructor who will be supervising the study is required. ",10.00 credits,,"Instructor consent required. Please note, a student is allowed a total of 1.00 credits only for reading courses.",,Department of Sociology and,,

